
"","","","","","","","","","","","","","Differences from Control"
" ","Region","Deficit","Forecast Days","Percent Adj"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE","AdvancedCnt","DelayedCnt"," ","Avg Yield","Total Irrigs","Avg Irrigs","Avg WUE"
" ","","(mm)","(days)","(%)"," ","(kg/ha)","()","()","(kg/mm)","()","()"," ","(kg/ha)","()","()","(kg/mm)"

" ","Gn",60,5,10," ",0.0,0,0.0,0.0,56,100," ",0,0,0,0.0
" ","Gn",60,5,20," ",0.0,0,0.0,0.0,98,189," ",0,0,0,0.0
" ","Gn",60,5,40," ",0.0,0,0.0,0.0,130,368," ",0,0,0,0.0
" ","Gn",60,7,5," ",0.0,0,0.0,0.0,22,49," ",0,0,0,0.0
" ","Gn",60,7,10," ",0.0,0,0.0,0.0,43,95," ",0,0,0,0.0
" ","Gn",60,7,20," ",0.0,0,0.0,0.0,70,188," ",0,0,0,0.0
" ","Gn",60,7,40," ",0.0,0,0.0,0.0,104,325," ",0,0,0,0.0
" ","Gn",80,3,5," ",0.0,0,0.0,0.0,31,56," ",0,0,0,0.0
" ","Gn",80,3,10," ",0.0,0,0.0,0.0,64,102," ",0,0,0,0.0
" ","Gn",80,3,20," ",0.0,0,0.0,0.0,90,139," ",0,0,0,0.0
" ","Gn",80,3,40," ",0.0,0,0.0,0.0,148,218," ",0,0,0,0.0
" ","Gn",80,5,5," ",0.0,0,0.0,0.0,25,55," ",0,0,0,0.0
" ","Gn",80,5,10," ",0.0,0,0.0,0.0,56,83," ",0,0,0,0.0
" ","Gn",80,5,20," ",0.0,0,0.0,0.0,80,145," ",0,0,0,0.0
" ","Gn",80,5,40," ",0.0,0,0.0,0.0,115,274," ",0,0,0,0.0
" ","Gn",80,7,5," ",0.0,0,0.0,0.0,22,58," ",0,0,0,0.0
" ","Gn",80,7,10," ",0.0,0,0.0,0.0,49,84," ",0,0,0,0.0
" ","Gn",80,7,20," ",0.0,0,0.0,0.0,65,173," ",0,0,0,0.0
" ","Gn",80,7,40," ",0.0,0,0.0,0.0,85,308," ",0,0,0,0.0
" ","Gn",100,3,5," ",0.0,0,0.0,0.0,34,38," ",0,0,0,0.0
" ","Gn",100,3,10," ",0.0,0,0.0,0.0,59,89," ",0,0,0,0.0
" ","Gn",100,3,20," ",0.0,0,0.0,0.0,90,106," ",0,0,0,0.0
" ","Gn",100,3,40," ",0.0,0,0.0,0.0,135,172," ",0,0,0,0.0
" ","Gn",100,5,5," ",0.0,0,0.0,0.0,35,43," ",0,0,0,0.0
" ","Gn",100,5,10," ",0.0,0,0.0,0.0,49,83," ",0,0,0,0.0
" ","Gn",100,5,20," ",0.0,0,0.0,0.0,70,125," ",0,0,0,0.0
" ","Gn",100,5,40," ",0.0,0,0.0,0.0,108,238," ",0,0,0,0.0
" ","Gn",100,7,5," ",0.0,0,0.0,0.0,26,47," ",0,0,0,0.0
" ","Gn",100,7,10," ",0.0,0,0.0,0.0,39,92," ",0,0,0,0.0
" ","Gn",100,7,20," ",0.0,0,0.0,0.0,51,158," ",0,0,0,0.0
" ","Gn",100,7,40," ",0.0,0,0.0,0.0,79,315," ",0,0,0,0.0
" ","Gn",120,3,5," ",0.0,0,0.0,0.0,34,36," ",0,0,0,0.0
" ","Gn",120,3,10," ",0.0,0,0.0,0.0,46,52," ",0,0,0,0.0
" ","Gn",120,3,20," ",0.0,0,0.0,0.0,60,85," ",0,0,0,0.0
" ","Gn",120,3,40," ",0.0,0,0.0,0.0,116,118," ",0,0,0,0.0
" ","Gn",120,5,5," ",0.0,0,0.0,0.0,27,30," ",0,0,0,0.0
" ","Gn",120,5,10," ",0.0,0,0.0,0.0,39,55," ",0,0,0,0.0
" ","Gn",120,5,20," ",0.0,0,0.0,0.0,53,73," ",0,0,0,0.0
" ","Gn",120,5,40," ",0.0,0,0.0,0.0,97,111," ",0,0,0,0.0
" ","Gn",120,7,5," ",0.0,0,0.0,0.0,22,36," ",0,0,0,0.0
" ","Gn",120,7,10," ",0.0,0,0.0,0.0,29,72," ",0,0,0,0.0
" ","Gn",120,7,20," ",0.0,0,0.0,0.0,40,115," ",0,0,0,0.0
" ","Gn",120,7,40," ",0.0,0,0.0,0.0,68,212," ",0,0,0,0.0
" ","Hi",60,3,5," ",0.0,0,0.0,0.0,45,76," ",0,0,0,0.0
" ","Hi",60,3,10," ",0.0,0,0.0,0.0,78,153," ",0,0,0,0.0
" ","Hi",60,3,20," ",0.0,0,0.0,0.0,126,309," ",0,0,0,0.0
" ","Hi",60,3,40," ",0.0,0,0.0,0.0,193,477," ",0,0,0,0.0
" ","Hi",60,5,5," ",0.0,0,0.0,0.0,48,74," ",0,0,0,0.0
" ","Hi",60,5,10," ",0.0,0,0.0,0.0,86,146," ",0,0,0,0.0
" ","Hi",60,5,20," ",0.0,0,0.0,0.0,125,288," ",0,0,0,0.0
" ","Hi",60,5,40," ",0.0,0,0.0,0.0,168,535," ",0,0,0,0.0
" ","Hi",60,7,5," ",0.0,0,0.0,0.0,38,72," ",0,0,0,0.0
" ","Hi",60,7,10," ",0.0,0,0.0,0.0,75,153," ",0,0,0,0.0
" ","Hi",60,7,20," ",0.0,0,0.0,0.0,109,303," ",0,0,0,0.0
" ","Hi",60,7,40," ",0.0,0,0.0,0.0,155,595," ",0,0,0,0.0
" ","Hi",80,3,5," ",0.0,0,0.0,0.0,60,97," ",0,0,0,0.0
" ","Hi",80,3,10," ",0.0,0,0.0,0.0,88,159," ",0,0,0,0.0
" ","Hi",80,3,20," ",0.0,0,0.0,0.0,120,281," ",0,0,0,0.0
" ","Hi",80,3,40," ",0.0,0,0.0,0.0,162,469," ",0,0,0,0.0
" ","Hi",80,5,5," ",0.0,0,0.0,0.0,57,94," ",0,0,0,0.0
" ","Hi",80,5,10," ",0.0,0,0.0,0.0,80,170," ",0,0,0,0.0
" ","Hi",80,5,20," ",0.0,0,0.0,0.0,105,307," ",0,0,0,0.0
" ","Hi",80,5,40," ",0.0,0,0.0,0.0,145,493," ",0,0,0,0.0
" ","Hi",80,7,5," ",0.0,0,0.0,0.0,40,78," ",0,0,0,0.0
" ","Hi",80,7,10," ",0.0,0,0.0,0.0,74,162," ",0,0,0,0.0
" ","Hi",80,7,20," ",0.0,0,0.0,0.0,95,320," ",0,0,0,0.0
" ","Hi",80,7,40," ",0.0,0,0.0,0.0,129,616," ",0,0,0,0.0
" ","Hi",100,3,5," ",0.0,0,0.0,0.0,40,63," ",0,0,0,0.0
" ","Hi",100,3,10," ",0.0,0,0.0,0.0,72,117," ",0,0,0,0.0
